Judul,Harga,Deskripsi
"Vacuum Frying Kapasitas 1,5 kg plus 2 spinner Asianindo Terverifikasi  TKDN","0","mesin vacuum frying kapasitas 1,5 kg di tambah 2 spinner
# mesin yang berfungi untuk membuat segala jenis keripik / snack berbahan dasar buah,sayur, dan umbian
MESIN VACUUM FRYING

Mesin ini berfungsi untuk : memproduksi kripik atau camilan  jadi, yang berbahan dasar dari buah - buahan atau umbi - umbian. cocok untuk para pengusaha yang ingin membuat usaha keripik buah nya semakin cepat dan mudah, sebelum dikirim k lokasi sebelumnya sudah kami tes dan uji coba mesin tersebut. sehingga tidakmenimbulkan kendala pada saat digunakan oleh konsumen. cara penggunaan sangat mudah, ada dilengkapi buku panduan dan tutorial dari ahli nya. 

nb : free spinner dan kompor. disertai juga buku panduan penggunaan mesin nya.
garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan  pribadi maupun untuk pengadaan didinas pemerintahan ( Tender )
info lebih lanjut bisa menghubungi  Admin kami 
deskripsi produk :
- Kapasitas 1,5 kg on proses
- Dimensi 90 cm × 80 cm × 58 cm
- Tabung D 30 cm × P 45 cm
- Sistem vacuum : Water jet 1/2 HP
- Daya listrik 600 watt / 220 volt
- Suhu terkontrol otomatis
- Kebutuhan minyak 15 liter
- Pemanas kompor LPG
 
Keterangan :
 
- Unit mesin 100% Baru
- Garansi servis 1 tahun ( non spare   part ).. 

Cocok bagi para pemula usaha pembuatan keripik buah ( jeruk, apel, nangka, dll ) dan umbi umbian ( kentang, ubi, singkong, dll )."
"Mesin Sterilisasi UHT Kapasitas 100 liter CV Asianindo","0","MESIN STERILISASI UHT

Mesin Sterilisasi UHT merupakan mesin yang memiliki metode untuk menjaga kualitas pangan yang bersifat cair dengan menggunakan pemanasan intensif dalam waktu cepat. Mesin sterilisasi ini, digunakan untuk mensterilisasi minuman antara lain susu, yogurt, teh, sirup, minuman herbal, dan lain-lain.

Spesifikasi :
- HARGA : Rp.175.000.000
- Kapasitas = 100 ltr/jam
Kelengkapan 
1.Feed tank
2.UHT unit
3.Aseptic tank
4.Thermal oil
5.Water Boiler
6.Cooling Tower

- ⁠Sistem Sterilisasi = indirect
- ⁠Modul UHT menggunakan sistem pemanas steam sudah termasuk internal boiler dengan pemanas electric heater
- ⁠Media pendingin = cooling water
- ⁠Suhu sterilisasi = 60 - 145*C (bisa disetting)
- ⁠Lama holding sterilisasi = 5 - 10 detik
- ⁠Suhu output produk = 30 - 40*C
- ⁠Type heat exchanger = Shell & Tube HE
- ⁠Sistem control operational = automatic PLC & HMI
- ⁠Material = stainless steel SUS 304"
"Mesin Pengaduk Adonan Dodol, Jenang dan Selai Kapasitas 100 liter Asianindo","0","Mesin yang berfungi untuk mengaduk adonan yang akan dijadikan selai, jenang, dodol ( makanan camilan khas jawa ). supaya proses produksi lebih cepat, mudah dan praktis..

 Spesifikasi 
- Tabung bahan full stainless steel food grade
- Frame full stainless
- Sumber daya pemanas kompor LPG
- Tabung masak Double jacket
- Kapasitas 100 liter
- Mesin penggerak dinamo 
- Include kompor mata seribu ( tabung gas belum termasuk )."
"Mesin Hummer mill ( penepung ) kapasitas 1 ton per proses","0","mesin penepung kapasitas 1 ton per jam.. 
bisa di aplikasi kan untuk segala jenis bahan baku , baik untuk membuat tepung, pakan ternak, dll"
"Mesin Oven Pengering Kapasitas 5 Rak CV Asianindo","0","Cocok untuk kebutuhan industri yang membutuhkan pengeringan dalam jumlah banyak. cukup luas untuk berbagai jenis produk
* Kapasitas : 5 rak / loyang
* Dimensi : 70x53x104 cm
* Bahan : Full stainless stell
* Listrik blower: 150 watt , 220 V
* Sumber panas : LPG/heater ( salah satu )"
"Mesin Extruder Snack Makanan Ringan Asianindo","0","- Deskripsi Produk -
Mesin ini dirancang khusus untuk produksi snack makanan ringan. Dengan spesifikasi yang jelas, mesin ini menjadi pilihan tepat untuk kebutuhan Anda.

- Spesifikasi Mesin -
Bahan: Full Stainless Steel. Menjamin ketahanan dan keawetan mesin dalam jangka panjang.
Rangka: MS. Memberikan struktur yang kokoh dan tahan lama.
Dinamo Motor: Menggunakan teknologi motor dinamo untuk efisiensi operasional.

- Informasi Tambahan -
Pastikan untuk memilih Mesin Extruder Snack Makanan Ringan ini sesuai dengan kebutuhan Anda. Dengan bahan dan komponen yang disebutkan, mesin ini siap mendukung produksi snack Anda. "
"Mesin Oven Pengering Kapasitas 12 Rak CV Asianindo","0","Oven ini memiliki kapasitas yang cukup besar, mampu menampung hingga 12 rak atau loyang. Ideal untuk kebutuhan memasak dalam jumlah banyak. Cocok untuk restoran atau pabrik makanan. Dimensi dan Bahan:
Dengan dimensi 70x53x180 cm, oven ini mudah ditempatkan di berbagai ruang. Terbuat dari bahan stainless steel, menjamin ketahanan dan keawetan dalam penggunaan jangka panjang. Spesifikasi Listrik:
- Blower: 150 watt, 220 V
- Heater: 750 watt, 220 V
Sistem pendinginan dan pemanasan yang efisien, memastikan proses memasak berjalan optimal. Kompor termasuk dalam sistem ini."
"Mesin Vacuum Frying 50kg TKDN Kemenperin - Paket Usaha Keripik Buah (Free Spinner & Kompor).","0","MESIN VACUUM FRYING kapasitas 50 kg

Mesin ini berfungsi untuk : memproduksi kripik atau camilan  jadi, yang berbahan dasar dari buah - buahan atau umbi - umbian. cocok untuk para pengusaha yang ingin membuat usaha keripik buah nya semakin cepat dan mudah, sebelum dikirim k lokasi sebelumnya sudah kami tes dan uji coba mesin tersebut. sehingga tidakmenimbulkan kendala pada saat digunakan oleh konsumen. cara penggunaan sangat mudah, ada dilengkapi buku panduan dan tutorial dari ahli nya. 

nb : free spinner dan kompor. disertai juga buku panduan penggunaan mesin nya.
garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan  pribadi maupun untuk pengadaan didinas pemerintahan ( Tender )

deskripsi produk :
- Kapasitas 50 kg on proses
- Sistem vacuum :3 Water jet 2HP
- Daya listrik 3700 watt / 220 volt
- Suhu terkontrol otomatis
- Kebutuhan minyak 180 liter
- Pemanas 2 kompor LPG
 
Keterangan :
- Unit mesin 100% Baru
- Garansi servis 1 tahun ( non spare part )

MENGAPA HARUS ASIANINDO?
- SERTIFIKASI TKDN: Diakui Kementrian
- Perindustrian (Kualitas Standar Nasional).
- PAKET KOMPLIT: Harga sudah termasuk Spinner Peniris Minyak & Kompor LPG. Tinggal pakai!
- PENDAMPINGAN AHLI: Takut gak bisa pakai?
- Kami pandu via Video Call sampai hasil keripik Anda renyah & cantik."
"Autoclave Sterilizer Kapasitas  Liter","0","Autoclave ( Sterilisasi ) mesin yang berfungsi untuk mensteril kan benda-benda logam,stainless, dll untuk kebutuhan rumah sakit atau laboraturium.. bisa di gunakan juga untuk mempresto bahan bahan makanan..

spesifikasi produk :
- Bahan Stainless steel food grade
- Kapasitas 50 liter
- Sudah dilengkapi dengan insulator atau penahan panas
- Dilengkapi dengan pengatur suhu
- Dilengkapi dengan alarm dan lampu indikator apabila suhu yang diinginkan sudah tercapai
- Bahan bakar menggunakan Gas elpiji
- rangka kuat dan tidak mengembung.

# Ada buku untuk panduan penggunaan mesin Autoclave tersebut"
"Mesin Roasting Kopi Kapasitas 3 kg Plus Pendingin CV Asianindo","0","mesin roasting kopi kapasitas 3 kg 
bagus untuk para pengusaha yang ingin memulai usaha cafe, atau produsen kopi siap saji .. desain elegant dengan dilengkapi sistem otomatisasi membuat produksi lebih cepat dan praktis. 
spesifikasi sebagai berikut : 
Spesifikasi
* Plat tabung tebal 3mm SS
* Coolingbeen 1,2mm
* Control suhu thermo control otomatis dan thermo digital
* Rangka pipa mild steel
* Kompor tungku 3baris
* Kelengkapan 2blower cyclone dan pendingin, selang regulator, alarm, manometer, checker kopi, dan lampu.

- pada saat menggunakan awal akan kami pandu sampai bisa.

# garansi mesin 1 tahun ( non sparepart )
 
# Happy shopping day #"
"Mesin Vacuum Frying 3,5kg TKDN Kemenperin - Paket Usaha Keripik Buah (Free Spinner & Kompor).","0","MESIN VACUUM FRYING

Mesin Vacuum Frying ini berfungsi untuk : memproduksi kripik atau camilan  jadi, yang berbahan dasar dari buah - buahan atau umbi - umbian. Mesin Vacuum Frying ini cocok untuk para pengusaha yang ingin membuat usaha keripik buah nya semakin cepat dan mudah, sebelum dikirim ke lokasi Mesin Vacuum Frying sebelumnya sudah kami tes dan uji coba mesin tersebut. sehingga tidak menimbulkan kendala pada saat digunakan oleh konsumen. cara penggunaan Mesin Vacuum Frying sangat mudah, ada dilengkapi buku panduan dan tutorial dari ahli nya. 

nb : Mesin Vacuum Frying free spinner dan kompor. disertai juga buku panduan penggunaan mesin nya.
garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan  pribadi maupun untuk pengadaan di dinas pemerintahan ( Tender )

Spesifikasi mesin Mesin Vacuum Frying : 
- Kapasitas 3,5 kg / proses
- Dimensi 120 cm × 110 cm × 140 cm
- Sistem vacuum : water jett ( 1 hp )
- Daya listrik 750 watt / 220 volt
- Suhu terkontrol otomatis
- Kebutuhan minyak 35 liter 
- Pemanas kompor LPG

MENGAPA HARUS ASIANINDO?
- SERTIFIKASI TKDN: Diakui Kementrian
- Perindustrian (Kualitas Standar Nasional).
- PAKET KOMPLIT: Harga sudah termasuk Spinner Peniris Minyak & Kompor LPG. Tinggal pakai!
- PENDAMPINGAN AHLI: Takut gak bisa pakai?
- Kami pandu via Video Call sampai hasil keripik Anda renyah & cantik.

UNIT MESIN 100% BARUU !!!
MESIN VACUUM FRYING"
"Mini Retort Sterilisasi 100 Liter Asianindo","0","Peralatan Industri Pengolahan Makanan
Mesin retort ini ideal untuk sterilisasi produk makanan dalam kemasan
tertutup. Menggunakan suhu tinggi dan tekanan untuk membunuh mikroorganisme
berbahaya. Memperpanjang umur simpan produk. Bekerja sesuai Perka BPOM untuk
produk steril komersial makanan olahan dalam kemasan non refrigerator. Awet
tanpa pendinginan.
* * *
• Spesifikasi Mesin:
* Kapasitas: 100 liter/proses
* Material: Full Stainless Steel
* Keranjang Vorporasi Stainless Steel d:3mm
* Burner: LPG Stove
* Pressure Gauge
* Manual Thermo Control
* Safety Valve
* Emergency Valve
* * *
Operasional dengan tekanan 14,5 psi dan suhu 100-110 oC. Dilengkapi Safety
Valve dan Emergency Valve untuk keamanan ekstra. Semua komponen dirancang
untuk efisiensi dan keandalan. Sesuai standar BPOM untuk kualitas produk
makanan."
"Mesin Roasting Kopi Kapasitas 10 kg CV Asianindo","0","Spesifikasi :

· Kapasitas 10kg
· Tebal Bahan Drum 3 mm Stainless steel
· Body Mild Steel
· Rangka Pipa Kotak
· Thermo control digital
· Blower Cyclone dan Blower cooling bean/pendingin
· Burner Tungku 3 baris
· Kelengkapan Lampu, Burn, Stik Checker Kopi, Manometer, Selang dan Regulator
- pada saat awal pengoperasian akan dipandu oleh ahlinya dan kami kawal sampai bisa
- garansi mesin 1 tahun ( non sparepart )."
"Mesin Vacuum Frying 25kg TKDN Kemenperin - Paket Usaha Keripik Buah (Free Spinner & Kompor).","0","MESIN VACUUM FRYING

Mesin ini berfungsi untuk : memproduksi kripik atau camilan  jadi, yang berbahan dasar dari buah - buahan atau umbi - umbian. cocok untuk para pengusaha yang ingin membuat usaha keripik buah nya semakin cepat dan mudah, sebelum dikirim k lokasi sebelumnya sudah kami tes dan uji coba mesin tersebut. sehingga tidakmenimbulkan kendala pada saat digunakan oleh konsumen. cara penggunaan sangat mudah, ada dilengkapi buku panduan dan tutorial dari ahli nya. 

nb : free spinner dan kompor. disertai juga buku panduan penggunaan mesin nya.
garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan  pribadi maupun untuk pengadaan didinas pemerintahan ( Tender )

deskripsi produk :
- Kapasitas 25 kg on proses
- Diameter tabung 58 cm , panjang 130 cm
- Sistem vacuum :2 Water jet 2HP
- Daya listrik 2500 watt / 220 volt
- Suhu terkontrol otomatis
- Kebutuhan minyak 90 liter
- Pemanas 2 kompor LPG
 
Keterangan :
- Unit mesin 100% Baru
- Garansi servis 1 tahun ( non spare part ).

MENGAPA HARUS ASIANINDO?
- SERTIFIKASI TKDN: Diakui Kementrian
- Perindustrian (Kualitas Standar Nasional).
- PAKET KOMPLIT: Harga sudah termasuk Spinner Peniris Minyak & Kompor LPG. Tinggal pakai!
- PENDAMPINGAN AHLI: Takut gak bisa pakai?
- Kami pandu via Video Call sampai hasil keripik Anda renyah & cantik.

Cocok bagi para pemula usaha pembuatan keripik buah ( jeruk, apel, nangka, dll ) dan umbi umbian ( kentang, ubi, singkong, dll )."
"Mixer Pengaduk Adonan (Dough Mixer) Kapasitas 50 kg Tepung CV Asianindo","0","Dough mixer / mesin pengaduk adonan tepung / roti ( multi fungsi ). dapat digunakan untuk mengaduk adonan mie, donat, kue, cream kocok, telor dll.
 
Spesifikasi :
- Power dinamo 
- Perangkat dan bak full stainless
- bahan stainless full  ( food grade ) 
- kapasitas 50 kg."
"Mesin Pengolahan VCO (Virgin Coconut Oil) Minyak Kelapa","0","Vco (Virgin Coconut Oil) atau nama dalam bahasa Indonesia adalah Minyak Kelapa Murni. Dikenal memiliki banyak kandungan alami untuk tubuh dan ramah tanpa efek samping. Minyak ini sekarang menjadi tren di dunia kesehatan dan kecantikan, tak banyak yang membeli minyak VCO untuk kebutuhan tubuh manusia.
Dalam pembuatan Minyak VCO banyak melalui proses yang sangat panjang untuk mendapatkan hasil yang sempurnya.

1. Pengupas Sabut Kelapa
2. Pengupas Batok Kelapa
3. Mesin Pemarut Kelapa
4. Mesin Pemeras Santan
5. Pendingi Cepat
6. Pengaduk/ Mixer Minyak
7. Penghangat Cepat
8. Sentrifugal
9. Evaporator Vacuum
"
"Mesin Mixing Tank Homogenizer Kapasitas 100 liter Asianindo","0","HOMOGENIZER MIXING LIQUID – MIXER TANK SINGLE JACKET

Mesin ini digunakan untuk mencampur serta mengaduk aneka jenis bahan-bahan berbentuk liquid (cair). Tanki mesin bermodel single jacket serta mesin tidak dilengkapi dengan pemanas. Kontak produk terbuat dari material stainless steel berlabel food grade & pharma grade sehingga aman digunakan untuk bahan makanan maupun bahan kosmetik. Terdapat roda pada rangka yang mempermudah Anda ketika hendak memindahkan mesin.
spesifikasi produk :
- Kapasitas 100 liter per proses
- Material bahan stainless 304
- Frame stainless steel
- Rangka stainless
- Penggerak motor listrik 
- (Inverter/speed control mixer)
- Pemanas heater
- Sistem pengaduk  up down.
- Roda tabung (bisa di pindah2)
- Up down daya listrik 200 watt
- Penggerak mixer daya listrik 1500 watt.

keterangan lain :
* kami memberikan garansi produk selama 6 bulan free sparepart
* melayani kebutuhan pengadaan instansi ataupun dinas.
"
"Mesin Vacuum Frying 15kg Free Spinner ASIANINDO | Mesin Keripik Buah & Umbi – TKDN Terverifikasi","0","MESIN VACUUM FRYING

Mesin ini berfungsi untuk : memproduksi kripik atau camilan  jadi, yang berbahan dasar dari buah - buahan atau umbi - umbian. cocok untuk para pengusaha yang ingin membuat usaha keripik buah nya semakin cepat dan mudah, sebelum dikirim k lokasi sebelumnya sudah kami tes dan uji coba mesin tersebut. sehingga tidakmenimbulkan kendala pada saat digunakan oleh konsumen. cara penggunaan sangat mudah, ada dilengkapi buku panduan dan tutorial dari ahli nya. 

nb : free spinner dan kompor. disertai juga buku panduan penggunaan mesin nya.
garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan  pribadi maupun untuk pengadaan didinas pemerintahan ( Tender )

deskripsi produk :
- Kapasitas 15 kg on proses
- Sistem vacuum : Water jet 2HP
- Daya listrik 1500 watt / 220 volt
- Suhu terkontrol otomatis
- Kebutuhan minyak 75 liter
- Pemanas kompor LPG
 
Keterangan :
 
- Unit mesin 100% Baru
- Garansi servis 1 tahun ( non spare   part ).. 

Cocok bagi para pemula usaha pembuatan keripik buah ( jeruk, apel, nangka, dll ) dan umbi umbian ( kentang, ubi, singkong, dll )."
"Mixer Pengaduk Adonan (Dough Mixer) Kapasitas 200 kg CV Asianindo","0","Dough mixer / mesin pengaduk adonan tepung / roti ( multi fungsi ). dapat digunakan untuk mengaduk adonan mie, donat, kue, cream kocok, telor dll.
 
Spesifikasi :
- Power : dinamo gearbox
- Rangka unp dan bak full stainless
- bahan stainless full  ( food grade ) 
- kapasitas 200kg / proses
- pengaduk adonan ( stainless )
"
"ASIANINDO Mesin Roasting Kopi Kapasitas 3kg Bahan Drum Stainless Steel 3mm Body Mild Steel Rangka Pipa Kotak Kontrol Digital Blower Cyclone dan Cooling Bean","0","<h2 style=""text-align: left;"">ASIANINDO Mesin Roasting Kopi Kapasitas 3kg</h2> <strong>Spesifikasi Mesin:</strong>
• Kapasitas mesin mencapai 3kg, ideal untuk produksi kopi dalam jumlah banyak.
• Drum terbuat dari stainless steel tebal 3 mm, kuat dan tahan lama.
• Body menggunakan mild steel, ringan namun kokoh.
• Rangka terbuat dari pipa kotak, memberikan stabilitas ekstra.<h2 style=""text-align: left;"">Kontrol dan Sistem Pengolahan:</h2>• Dilengkapi thermo control digital untuk pengawasan suhu yang akurat.
• Fitur blower cyclone dan blower cooling bean/pendingin untuk proses roasting optimal.
• Burner tungku 3 baris memastikan distribusi panas yang merata.<h2 style=""text-align: left;"">Keandalan dan Kinerja:</h2>Mesin ini dirancang untuk efisiensi dan kinerja tinggi. Dengan spesifikasi tersebut, Anda akan mendapatkan hasil roasting kopi yang konsisten dan berkualitas."
"Mesin Vacuum Frying 15kg TKDN Kemenperin - Paket Usaha Keripik Buah (Free Spinner & Kompor).","0","MESIN VACUUM FRYING

Mesin ini berfungsi untuk : memproduksi kripik atau camilan  jadi, yang berbahan dasar dari buah - buahan atau umbi - umbian. cocok untuk para pengusaha yang ingin membuat usaha keripik buah nya semakin cepat dan mudah, sebelum dikirim k lokasi sebelumnya sudah kami tes dan uji coba mesin tersebut. sehingga tidakmenimbulkan kendala pada saat digunakan oleh konsumen. cara penggunaan sangat mudah, ada dilengkapi buku panduan dan tutorial dari ahli nya. 

nb : free spinner dan kompor. disertai juga buku panduan penggunaan mesin nya.
garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan  pribadi maupun untuk pengadaan didinas pemerintahan ( Tender )

deskripsi produk :
- Kapasitas 15 kg on proses
- Sistem vacuum : 2 Water jet 2HP
- Daya listrik 1500 watt / 220 volt
- Suhu terkontrol otomatis
- Kebutuhan minyak 85 liter
- Pemanas kompor LPG
 
Keterangan :
- Unit mesin 100% Baru
- Garansi servis 1 tahun ( non spare part ).. 

MENGAPA HARUS ASIANINDO?
- SERTIFIKASI TKDN: Diakui Kementrian
- Perindustrian (Kualitas Standar Nasional).
- PAKET KOMPLIT: Harga sudah termasuk Spinner Peniris Minyak & Kompor LPG. Tinggal pakai!
- PENDAMPINGAN AHLI: Takut gak bisa pakai?
- Kami pandu via Video Call sampai hasil keripik Anda renyah & cantik.

Cocok bagi para pemula usaha pembuatan keripik buah ( jeruk, apel, nangka, dll ) dan umbi umbian ( kentang, ubi, singkong, dll )."
"Mesin Roasting Kopi Kapasitas 15kg CV Asianindo","0","Spesifikasi :

· Kapasitas 15kg
· Tebal Bahan Drum 3 mm Stainless steel
· Body Mild Steel
· Rangka Pipa Kotak
· Thermo control digital
· Blower Cyclone dan Blower cooling bean/pendingin
· Burner Tungku 3 baris
· Kelengkapan Lampu, Burn, Stik Checker Kopi, Manometer, Selang dan Regulator

- pada saat awal pengoperasian akan dipandu oleh ahlinya dan kami kawal sampai bisa
- garansi mesin 1 tahun ( non sparepart )."
"Gantri Crane Kapasitas 1 Ton Asianindo","0","Deskripsi Produk: Gantri Crane Kapasitas 1 Ton

- Ganty Crane: Solusi Pengangkutan Anda -
Ganty crane adalah crane overhead yang dirancang untuk kebutuhan pengangkutan. Dilengkapi dengan balok overhead, struktur ini mendukung berbagai operasi. 

Dengan kaki berdiri bebas, crane ini dapat bergerak di atas roda, trek, atau sistem rel. Ini memungkinkan mobilitas yang luas untuk jembatan, troli, dan kerekan barang. 

Kapasitas crane ini mencapai 1 ton, ideal untuk mengangkut barang dalam jumlah sedang. Pastikan proses pengangkutan Anda efisien dengan Ganty crane ini. 

Semua informasi didasarkan pada data produk yang diberikan. Tidak ada tambahan spesifikasi atau klaim yang tidak disebutkan."
"Mesin Oven Pengering Kapasitas 8 Rak CV Asianindo","0","Oven Pengering 8 Rak
✨ Ideal untuk Pengeringan Berkualitas ✨
Oven Pengering 8 rak ini memiliki kapasitas besar, mampu memproses hingga 8 rak atau loyang. Dengan dimensi mesin 75x50x145 cm dan loyang 74x41x4 cm, oven ini sangat efisien untuk penggunaan massal. Bahan full stainless steel menjamin ketahanan dan keawetan. Cocok untuk berbagai kebutuhan pengeringan Anda.

💡 Spesifikasi Listrik dan Sumber Panas 💡
Oven dilengkapi dengan blower listrik berdaya 150 watt pada tegangan 220V. Sumber panas yang digunakan adalah LPG. Pastikan sumber energi Anda sesuai untuk optimalisasi kinerja oven. Informasi ini penting untuk penggunaan yang efektif dan aman.

🔧 Detail Teknis 🔧
Kapasitas: 8 rak / loyang
Dimensi mesin: 75x50x145 cm
Dimensi loyang: 74x41x4 cm
Bahan: Full Stainless Steel
Blower: 150 watt, 220V
Sumber panas: LPG
Semua spesifikasi ini dirancang untuk memberikan hasil terbaik dalam pengeringan."
"Mesin Presto 10kg CV Asianindo","0","* Kapasitas : 10 kg
* Bahan Tabung Stainless Steel
* Dimensi : 46x46x85 cm
* Rangka Mill steel
* Keranjang : 2 sap
* Kontrol tekanan
* Safety Valve
* Gratis Kompor LPG"
"Mesin Destilasi Minyak Nilam Atsiri 250 Liter CV Asianindo","0","Mesin destilasi merupakan salah satu mesin yang digunakan sebagai pembuat minyak atsiri. Mesin ini bisa mengolah berbagai jenis dedaunan dengan memakai sistim penguapan. Untuk bahan yang dipakai dalam pembuatan dari minyak atsiri yaitu daun cengkeh, daun kayu putih, daun sirih, daun kayu manis, daun cendana, dan berbagai jenis daun lainnya yang bisa mengeluarkan minyak.

Spesifikasi :
* Kapasitas 250 liter / proses
* Tabung reaktan Stainless Steel 304 Food Grade, 3 mm
* Bahan bakar LPG (bisa dimodifikasi minyak tanah, kayu bakar)

️Keunggulan:
- Hasil minyak atsiri murni dan berkualitas tinggi
- Material stainless steel higienis & tahan lama
- Proses efisien dengan sistem penguapan modern
- Cocok untuk industri minyak atsiri, penelitian, hingga produksi herbal alami

Tingkatkan produktivitas dan kualitas hasil destilasi Anda bersama CV Asianindo – Mesin Hebat, Usaha Kuat!"
"Mesin Roasting Kopi 1 kg CV Asianindo","0","Spesifikasi :

·         Kapasitas 1kg
·         Tebal Bahan Drum 3 mm Stainless steel
·         Body Mild Steel
·         Rangka Pipa Kotak
·         Thermo control digital
·         Blower Cyclone dan Blower cooling bean/pendingin
·         Burner Tungku 3 baris
·         Kelengkapan Lampu, Burn, Stik Checker Kopi, Manometer, Selang dan Regulator"
"ASIANINDO Mesin Roasting Kopi Kapasitas 3kg Drum Adjustable Speed Sumber Panas Gas LPG / Natural Sistem Pemanasan Indirekt","0","Mesin roasting kopi adalah salah satu rangkaian mesin kopi di bagian hulu, digunakan untuk proses memanggang biji kopi mentah menjadi matang. From fresh green beans, to wonderful roasted beans.
Mesin pemanggang kopi merupakan sebuah mesin yang digunakan untuk menyangrai biji kopi agar matang, sehingga siap untuk diproses lebih lanjut. Prinsip kerja mesin ini adalah produk dipanaskan dalam ruang sangrai yang berputar dengan suhu tertentu, sehingga pemanasan bisa merata.
spesifikasi : 
DRUM CAPACITY: 3kg/batch, Min 500gr, Max 3,5kg

DRUM SPEED: Adjustable, Automatic switch ON when Heating and switch OFF when Cooling

HEAT SOURCE: Gas (LPG / Natural)

HEATING SYSTEM: Indirect"
"Mesin Spray Dryer 3 Liter Asianindo","0","·  Kapasitas 3 Liter Bahan/jam
·  Dimensi 85x145x200 cm
·  Ruang Pengering Stainless steel Food Grade
·  Material Rangka Full Stainless Steel
·  Total Daya 15.000 Watt
·  Air Compressor 2HP/380 V
·  Heater Elektrik 12.000 Watt
·  Blower 2pcs, 600 Watt
·  Cyclone stainless steel Food Grade
·  1 Buah Tabung Dinding, 1 Buah Pemanas Atas"
"Mesin Evaporator Vacuum 25 Liter Asianindo","0","MESIN EVAPORATOR VACUM

Kegunaan:
Untuk mengurangi kadar air/mengentalkan cairan:( minyak, VCO, madu, susu,dll.)
dengan cara kandungan air 
dipanaskan dan diuapkan,kemudian kandungan air tadi 
dikeluarkan dengan cara di Vacum.

 spesifikasi produk :

*Bahan Stainless Steel
*Pemanas Kompor/heater
*Kontrol Suhu Otomatis
*Listrik 750 watt, 220V
*Tabung Double Jacket
*Dimensi Total: 80x118x129 cm
*Rpm : 30 rpm. 

garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.
note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda butuhkan, baik untuk kebutuhan pribadi maupun untuk pengadaan di dinas pemerintahan ( Tender )"
"Mesin Pemeras Santan Kap 300 Kg per jam CV Asianindo","0","Mesin pemeras santan ini dirancang untuk membantu proses produksi santan menjadi lebih cepat, efisien, dan higienis. Cocok digunakan untuk pelaku usaha pengolahan kelapa, UMKM, hingga industri rumahan yang membutuhkan hasil perasan santan maksimal dengan tenaga kerja yang lebih ringan.

Menggunakan material stainless steel, mesin ini aman untuk bahan pangan, mudah dibersihkan, serta memiliki daya tahan tinggi untuk pemakaian jangka panjang. Dengan kapasitas hingga 300 kg per jam, mesin ini mampu meningkatkan produktivitas usaha secara signifikan dibandingkan metode manual.

Spesifikasi Produk:
- Kapasitas produksi: ±300 kg/jam
- Bahan mesin: Stainless Steel
- Berat mesin: ±90 kg
- Proses pemerasan cepat dan stabil
- Hasil perasan santan lebih optimal
- Desain kokoh dan mudah dioperasikan

Info lebih lanjut & pemesanan:
Silakan hubungi admin kami untuk konsultasi kebutuhan mesin sesuai usaha Anda.
"
"Mesin Spinner Peniris Minyak Kapasitas 20 Kg | Solusi Untuk Usaha Gorengan dan Camilan CV Asianindo","0","Ingin hasil gorengan yang lebih renyah, kering, dan tahan lama?
Gunakan Mesin Spinner CV Asianindo, solusi efisien untuk meniriskan minyak dari aneka produk makanan seperti keripik, kerupuk, dan camilan lainnya!

Spesifikasi:
• Kapasitas: 20 Kg
• Bahan: Full Stainless Steel
• Tinggi Body: 80 cm
• Diameter Tabung: 60 cm
• Daya Listrik: 600 Watt / 220 Volt

Keunggulan:
Mengurangi kadar minyak dengan cepat dan efisien
Desain kokoh & higienis berbahan stainless steel
Hemat waktu, hemat tenaga, dan mudah digunakan
Cocok untuk usaha makanan skala UMKM hingga industri

Tingkatkan kualitas produk gorenganmu dengan hasil yang lebih kering, renyah, dan bernilai jual tinggi bersama CV Asianindo – Mesin Hebat, Usaha Kuat!"
